Sufijo,Número,frec_afijada,frec_pseudoafijada,count_afijada,count_pseudoafijada,prop_frec_afij,prop_count_afij
 ergia ,singular ,0.0,16.0,0.0,1.0,0.0,0.0
 erio ,Total,44.0,1809.0,3.0,34.0,0.023745277927684834,0.08108108108108109
 erio ,plural ,0.0,2.0,0.0,2.0,0.0,0.0
 erio ,singular ,44.0,1807.0,3.0,32.0,0.02377093462992977,0.08571428571428572
 ero ,Total,6765.0,48513.0,472.0,175.0,0.12238141756214045,0.7295208655332303
 ero ,plural ,449.0,232.0,118.0,33.0,0.6593245227606461,0.7814569536423841
 ero ,singular ,6316.0,48281.0,354.0,142.0,0.1156840119420481,0.7137096774193549
 ería ,Total,852.0,453.0,171.0,35.0,0.6528735632183909,0.8300970873786407
 ería ,plural ,14.0,14.0,10.0,8.0,0.5,0.5555555555555556
 ería ,singular ,838.0,439.0,161.0,27.0,0.6562255285826155,0.8563829787234043
 esa ,Total,1843.0,7026.0,61.0,51.0,0.2078024579997745,0.5446428571428571
 esa ,plural ,0.0,1.0,0.0,1.0,0.0,0.0
 esa ,singular ,1843.0,7025.0,61.0,50.0,0.20782589084348219,0.5495495495495496
 estesia ,Total,102.0,0.0,6.0,0.0,1.0,1.0
 estesia ,singular ,102.0,0.0,6.0,0.0,1.0,1.0
 eta ,Total,735.0,6000.0,90.0,151.0,0.1091314031180401,0.37344398340248963
 eta ,plural ,34.0,10.0,8.0,7.0,0.7727272727272727,0.5333333333333333
 eta ,singular ,701.0,5990.0,82.0,144.0,0.10476759826632791,0.36283185840707965
 ete ,Total,160.0,2741.0,51.0,81.0,0.055153395380903136,0.38636363636363635
 ete ,plural ,19.0,79.0,10.0,8.0,0.19387755102040816,0.5555555555555556
 ete ,singular ,141.0,2662.0,41.0,73.0,0.050303246521584015,0.35964912280701755
 ez ,Total,1596.0,7202.0,111.0,31.0,0.1814048647419868,0.7816901408450704
 ez ,plural ,1.0,33.0,1.0,8.0,0.029411764705882353,0.1111111111111111
 ez ,singular ,1595.0,7169.0,110.0,23.0,0.18199452304883615,0.8270676691729323
 eza ,Total,4684.0,4722.0,57.0,16.0,0.49798001275781417,0.7808219178082192
 eza ,plural ,0.0,27.0,0.0,2.0,0.0,0.0
 eza ,singular ,4684.0,4695.0,57.0,14.0,0.4994135835376906,0.8028169014084507
 ezna ,Total,0.0,1.0,0.0,1.0,0.0,0.0
 ezna ,singular ,0.0,1.0,0.0,1.0,0.0,0.0
 ezno ,Total,1.0,1.0,1.0,1.0,0.5,0.5
 ezno ,singular ,1.0,1.0,1.0,1.0,0.5,0.5
 eña ,Total,270.0,747.0,21.0,21.0,0.26548672566371684,0.5
 eña ,plural ,7.0,1.0,4.0,1.0,0.875,0.8
 eña ,singular ,263.0,746.0,17.0,20.0,0.2606541129831516,0.4594594594594595
 eño ,Total,389.0,3476.0,38.0,23.0,0.10064683053040104,0.6229508196721312
 eño ,plural ,44.0,1.0,16.0,1.0,0.9777777777777777,0.9411764705882353
 eño ,singular ,345.0,3475.0,22.0,22.0,0.09031413612565445,0.5
 fagia ,Total,5.0,0.0,3.0,0.0,1.0,1.0
 fagia ,singular ,5.0,0.0,3.0,0.0,1.0,1.0
 fanía ,Total,25.0,1.0,4.0,1.0,0.9615384615384616,0.8
 fanía ,singular ,25.0,1.0,4.0,1.0,0.9615384615384616,0.8
 fasia ,Total,0.0,2.0,0.0,1.0,0.0,0.0
 fasia ,singular ,0.0,2.0,0.0,1.0,0.0,0.0
 fila ,Total,15.0,410.0,2.0,6.0,0.03529411764705882,0.25
 fila ,plural ,1.0,0.0,1.0,0.0,1.0,1.0
 fila ,singular ,14.0,410.0,1.0,6.0,0.0330188679245283,0.14285714285714285
 filo ,Total,45.0,42.0,10.0,2.0,0.5172413793103449,0.8333333333333334
 filo ,plural ,35.0,0.0,7.0,0.0,1.0,1.0
